R-G-B Value,Hex Code,Frequency
212-211-193,d4d3c1,4226
211-210-192,d3d2c0,4140
213-212-194,d5d4c2,4007
216-215-197,d8d7c5,3946
214-213-195,d6d5c3,3930
215-214-196,d7d6c4,3865
211-210-190,d3d2be,3635
217-216-198,d9d8c6,3589
212-211-191,d4d3bf,3386
218-215-196,dad7c4,3209
204-205-187,cccdbb,3177
210-209-189,d2d1bd,3167
210-209-191,d2d1bf,3128
217-214-195,d9d6c3,3035
213-212-192,d5d4c0,2943
199-201-187,c7c9bb,2937
205-206-188,cdcebc,2838
200-203-186,c8cbba,2806
200-202-188,c8cabc,2761
218-217-199,dad9c7,2754
201-204-187,c9ccbb,2742
218-215-198,dad7c6,2739
203-204-186,cbccba,2716
215-213-198,d7d5c6,2715
209-208-188,d1d0bc,2680
204-205-189,cccdbd,2663
216-214-199,d8d6c7,2638
214-213-193,d6d5c1,2630
206-207-189,cecfbd,2613
221-218-201,dddac9,2593
212-210-195,d4d2c3,2579
214-212-197,d6d4c5,2575
198-200-186,c6c8ba,2544
201-203-189,c9cbbd,2540
202-205-188,cacdbc,2522
199-202-185,c7cab9,2521
213-211-196,d5d3c4,2507
205-206-190,cdcebe,2504
217-214-197,d9d6c5,2447
209-210-194,d1d2c2,2429
217-215-200,d9d7c8,2404
211-209-194,d3d1c2,2397
215-214-194,d7d6c2,2388
216-213-194,d8d5c2,2368
202-204-190,caccbe,2365
207-208-190,cfd0be,2354
208-207-187,d0cfbb,2351
208-209-193,d0d1c1,2330
208-209-191,d0d1bf,2312
203-205-191,cbcdbf,2302
219-216-197,dbd8c5,2299
203-204-188,cbccbc,2288
203-206-189,cbcebd,2269
222-219-202,dedbca,2259
219-216-199,dbd8c7,2258
209-210-192,d1d2c0,2208
216-215-195,d8d7c3,2197
206-207-191,cecfbf,2176
219-218-200,dbdac8,2171
202-203-185,cacbb9,2171
229-222-193,e5dec1,2166
198-201-184,c6c9b8,2145
215-212-193,d7d4c1,2133
220-219-201,dcdbc9,2112
209-208-190,d1d0be,2109
207-208-192,cfd0c0,2091
210-211-195,d2d3c3,2083
218-216-201,dad8c9,2077
220-217-200,dcd9c8,2051
197-199-185,c5c7b9,2048
207-206-186,cfceba,2024
230-221-190,e6ddbe,1997
216-213-196,d8d5c4,1922
220-218-203,dcdacb,1887
217-216-196,d9d8c4,1852
221-218-199,dddac7,1831
220-217-198,dcd9c6,1831
204-206-185,ccceb9,1823
229-220-189,e5dcbd,1822
219-217-202,dbd9ca,1817
202-203-187,cacbbb,1746
205-207-186,cdcfba,1727
230-221-192,e6ddc0,1712
204-206-192,cccec0,1709
201-202-184,c9cab8,1677
230-223-195,e6dfc3,1654
211-212-196,d3d4c4,1650
230-223-194,e6dfc2,1649
206-205-185,cecdb9,1635
214-211-192,d6d3c0,1634
210-211-193,d2d3c1,1629
210-208-193,d2d0c1,1616
223-220-203,dfdccb,1572
231-222-193,e7dec1,1567
206-208-187,ced0bb,1562
229-222-194,e5dec2,1553
221-220-202,dddcca,1550
213-210-191,d5d2bf,1547
34-35-30,22231e,1526
196-198-184,c4c6b8,1521
208-207-189,d0cfbd,1520
197-200-183,c5c8b7,1486
204-207-190,cccfbe,1485
209-210-196,d1d2c4,1473
203-205-184,cbcdb8,1446
201-204-185,c9ccb9,1431
205-207-193,cdcfc1,1431
200-201-183,c8c9b7,1422
202-205-186,cacdba,1413
210-211-197,d2d3c5,1398
221-219-204,dddbcc,1394
212-209-190,d4d1be,1389
200-203-184,c8cbb8,1374
215-212-195,d7d4c3,1334
199-202-183,c7cab7,1334
